lon,lat,dpt,wlv,hs,lm,dir,ts
-10,45,4663.5,0,4.23,259,280,1446332400
-9.9667,45,4676,0,4.22,260,280,1446332400
-9.9333,45,4689,0,4.212,261,280,1446332400
-9.9,45,4701.5,0,4.202,261,280,1446332400
-9.8667,45,4714.5,0,4.194,262,280,1446332400
-9.8333,45,4727.5,0,4.184,262,280,1446332400
-9.8,45,4740,0,4.176,263,280,1446332400
-9.7667,45,4753,0,4.166,264,280,1446332400
-9.7333,45,4765.5,0,4.158,264,281.6,1446332400
-9.7,45,4778.5,0,4.148,265,281.6,1446332400
-9.6667,45,4791,0,4.14,265,281.6,1446332400
-9.6333,45,4804,0,4.13,266,281.6,1446332400
-9.6,45,4817,0,4.122,267,281.6,1446332400
-9.5667,45,4829.5,0,4.112,267,281.6,1446332400
-9.5333,45,4842.5,0,4.104,268,281.6,1446332400
-9.5,45,4855,0,4.096,268,281.6,1446332400
-9.4667,45,4860,0,4.086,269,281.6,1446332400
-9.4333,45,4864.5,0,4.076,269,281.6,1446332400
-9.4,45,4869,0,4.066,270,281.6,1446332400
-9.3667,45,4873.5,0,4.058,270,281.6,1446332400
-9.3334,45,4878,0,4.048,271,281.6,1446332400
-9.3,45,4882.5,0,4.038,271,281.6,1446332400
-9.2667,45,4887,0,4.028,272,281.6,1446332400
-9.2334,45,4891.5,0,4.02,272,282.9,1446332400
-9.2,45,4896,0,4.01,273,282.9,1446332400
-9.1667,45,4900.5,0,4,273,282.9,1446332400
-9.1334,45,4905,0,3.99,274,282.9,1446332400
-9.1,45,4909.5,0,3.982,274,282.9,1446332400
-9.0667,45,4914,0,3.972,275,282.9,1446332400
-9.0334,45,4918.5,0,3.962,275,282.9,1446332400
-9,45,4923,0,3.954,275,282.9,1446332400
-8.9667,45,4922,0,3.944,276,282.9,1446332400
-8.9334,45,4921,0,3.934,276,282.9,1446332400
-8.9,45,4919.5,0,3.924,276,282.9,1446332400
-8.8667,45,4918.5,0,3.916,277,282.9,1446332400
-8.8334,45,4917.5,0,3.906,277,282.9,1446332400
-8.8,45,4916,0,3.896,277,282.9,1446332400
-8.7667,45,4915,0,3.886,278,282.9,1446332400
-8.7334,45,4914,0,3.878,278,283.8,1446332400
-8.7,45,4912.5,0,3.868,278,283.8,1446332400
-8.6667,45,4911.5,0,3.858,279,283.8,1446332400
-8.6334,45,4910.5,0,3.848,279,283.8,1446332400
-8.6,45,4909,0,3.84,279,283.8,1446332400
-8.5667,45,4908,0,3.83,280,283.8,1446332400
-8.5334,45,4907,0,3.82,280,283.8,1446332400
-8.5,45,4905.5,0,3.812,280,283.8,1446332400
-8.4667,45,4902,0,3.802,281,283.8,1446332400
-8.4334,45,4898,0,3.792,281,283.8,1446332400
-8.4,45,4894,0,3.782,281,283.8,1446332400
-8.3667,45,4890,0,3.772,281,283.8,1446332400
-8.3334,45,4886,0,3.762,281,283.8,1446332400
-8.3,45,4882,0,3.752,282,283.8,1446332400
-8.2667,45,4878,0,3.742,282,283.8,1446332400
-8.2334,45,4874,0,3.734,282,284.4,1446332400
-8.2,45,4870,0,3.724,282,284.4,1446332400
-8.1667,45,4866,0,3.714,282,284.4,1446332400
-8.1334,45,4862,0,3.704,283,284.4,1446332400
-8.1,45,4858,0,3.694,283,284.4,1446332400
-8.0667,45,4854,0,3.684,283,284.4,1446332400
-8.0334,45,4850,0,3.674,283,284.4,1446332400
-8,45,4846,0,3.666,283,284.4,1446332400
-7.9667,45,4845.5,0,3.654,284,284.4,1446332400
-7.9334,45,4844.5,0,3.644,284,284.4,1446332400
-7.9,45,4844,0,3.634,284,284.4,1446332400
-7.8667,45,4843,0,3.622,284,284.4,1446332400
-7.8334,45,4842.5,0,3.612,284,284.4,1446332400
-7.8,45,4841.5,0,3.602,284,284.4,1446332400
-7.7667,45,4841,0,3.59,284,284.4,1446332400
-7.7334,45,4840,0,3.58,284,285.3,1446332400
-7.7,45,4839.5,0,3.57,284,285.3,1446332400
-7.6667,45,4838.5,0,3.558,284,285.3,1446332400
-7.6334,45,4838,0,3.548,284,285.3,1446332400
-7.6,45,4837,0,3.538,284,285.3,1446332400
-7.5667,45,4836.5,0,3.526,284,285.3,1446332400
-7.5334,45,4835.5,0,3.516,284,285.3,1446332400
-7.5,45,4834.5,0,3.506,285,285.3,1446332400
-7.4667,45,4835.5,0,3.494,284,285.3,1446332400
-7.4334,45,4836,0,3.484,284,285.3,1446332400
-7.4,45,4837,0,3.472,284,285.3,1446332400
-7.3667,45,4837.5,0,3.462,284,285.3,1446332400
-7.3334,45,4838,0,3.452,284,285.3,1446332400
-7.3,45,4839,0,3.44,284,285.3,1446332400
-7.2667,45,4839.5,0,3.43,284,285.3,1446332400
-7.2334,45,4840.5,0,3.418,283,286.2,1446332400
-7.2,45,4841,0,3.408,283,286.2,1446332400
-7.1667,45,4841.5,0,3.398,283,286.2,1446332400
-7.1334,45,4842.5,0,3.386,283,286.2,1446332400
-7.1,45,4843,0,3.376,283,286.2,1446332400
-7.0667,45,4844,0,3.364,283,286.2,1446332400
-7.0334,45,4844.5,0,3.354,283,286.2,1446332400
-7,45,4845,0,3.344,283,286.2,1446332400
-6.9667,45,4845.5,0,3.332,282,286.2,1446332400
-6.9334,45,4845.5,0,3.32,282,286.2,1446332400
-6.9,45,4845.5,0,3.308,282,286.2,1446332400
-6.8667,45,4845.5,0,3.298,282,286.2,1446332400
-6.8334,45,4845.5,0,3.286,282,286.2,1446332400
-6.8,45,4845.5,0,3.274,281,286.2,1446332400
-6.7667,45,4845.5,0,3.262,281,286.2,1446332400
-6.7334,45,4846,0,3.252,281,286.6,1446332400
-6.7,45,4846,0,3.24,281,286.6,1446332400
-6.6667,45,4846,0,3.228,281,286.6,1446332400
-6.6334,45,4846,0,3.216,280,286.6,1446332400
-6.6,45,4846,0,3.206,280,286.6,1446332400
-6.5667,45,4846,0,3.194,280,286.6,1446332400
-6.5334,45,4846,0,3.182,280,286.6,1446332400
-6.5,45,4846,0,3.172,280,286.6,1446332400
-6.4667,45,4844,0,3.16,279,286.6,1446332400
-6.4334,45,4841.5,0,3.148,279,286.6,1446332400
-6.4,45,4839,0,3.136,279,286.6,1446332400
-6.3667,45,4836.5,0,3.124,279,286.6,1446332400
-6.3334,45,4834,0,3.112,279,286.6,1446332400
-6.3,45,4831.5,0,3.1,278,286.6,1446332400
-6.2667,45,4829,0,3.088,278,286.6,1446332400
-6.2334,45,4826.5,0,3.078,278,286.3,1446332400
-6.2,45,4824,0,3.066,278,286.3,1446332400
-6.1667,45,4821.5,0,3.054,278,286.3,1446332400
-6.1334,45,4819,0,3.042,277,286.3,1446332400
-6.1,45,4816.5,0,3.03,277,286.3,1446332400
-6.0667,45,4814,0,3.018,277,286.3,1446332400
-6.0334,45,4811.5,0,3.006,277,286.3,1446332400
-6.0001,45,4809,0,2.996,277,286.3,1446332400
-5.9667,45,4805.5,0,2.984,276,286.3,1446332400
-5.9334,45,4802,0,2.972,276,286.3,1446332400
-5.9001,45,4798.5,0,2.962,276,286.3,1446332400
-5.8667,45,4795,0,2.95,275,286.3,1446332400
-5.8334,45,4792,0,2.94,275,286.3,1446332400
-5.8001,45,4788.5,0,2.928,275,286.3,1446332400
-5.7667,45,4785,0,2.918,274,286.3,1446332400
-5.7334,45,4781.5,0,2.906,274,286.1,1446332400
-5.7001,45,4778,0,2.896,274,286.1,1446332400
-5.6667,45,4775,0,2.884,273,286.1,1446332400
-5.6334,45,4771.5,0,2.874,273,286.1,1446332400
-5.6001,45,4768,0,2.862,273,286.1,1446332400
-5.5667,45,4764.5,0,2.852,272,286.1,1446332400
-5.5334,45,4761,0,2.84,272,286.1,1446332400
-5.5001,45,4758,0,2.83,272,286.1,1446332400
-5.4667,45,4750,0,2.82,271,286.1,1446332400
-5.4334,45,4742.5,0,2.81,270,286.1,1446332400
-5.4001,45,4735,0,2.8,270,286.1,1446332400
-5.3667,45,4727.5,0,2.79,269,286.1,1446332400
-5.3334,45,4720,0,2.78,269,286.1,1446332400
-5.3001,45,4712.5,0,2.77,268,286.1,1446332400
-5.2667,45,4705,0,2.76,268,286.1,1446332400
-5.2334,45,4697.5,0,2.752,267,286,1446332400
-5.2001,45,4690,0,2.742,267,286,1446332400
-5.1667,45,4682.5,0,2.732,266,286,1446332400
-5.1334,45,4675,0,2.722,266,286,1446332400
-5.1001,45,4667.5,0,2.712,265,286,1446332400
-5.0667,45,4660,0,2.702,265,286,1446332400
-5.0334,45,4652.5,0,2.692,264,286,1446332400
-5.0001,45,4645,0,2.684,264,286,1446332400
-4.9667,45,4634,0,2.674,263,286,1446332400
-4.9334,45,4623,0,2.666,262,286,1446332400
-4.9001,45,4612.5,0,2.658,262,286,1446332400
-4.8667,45,4601.5,0,2.648,261,286,1446332400
-4.8334,45,4591,0,2.64,260,286,1446332400
-4.8001,45,4580,0,2.632,260,286,1446332400
-4.7667,45,4569.5,0,2.622,259,286,1446332400
-4.7334,45,4558.5,0,2.614,258,285.9,1446332400
-4.7001,45,4548,0,2.606,258,285.9,1446332400
-4.6667,45,4537,0,2.596,257,285.9,1446332400
-4.6334,45,4526.5,0,2.588,256,285.9,1446332400
-4.6001,45,4515.5,0,2.58,256,285.9,1446332400
-4.5667,45,4505,0,2.57,255,285.9,1446332400
-4.5334,45,4494,0,2.562,254,285.9,1446332400
-4.5001,45,4483.5,0,2.554,254,285.9,1446332400
-4.4667,45,4465.5,0,2.546,253,285.9,1446332400
-4.4334,45,4448,0,2.538,252,285.9,1446332400
-4.4001,45,4430,0,2.532,251,285.9,1446332400
-4.3667,45,4412.5,0,2.524,251,285.9,1446332400
-4.3334,45,4394.5,0,2.518,250,285.9,1446332400
-4.3001,45,4377,0,2.51,249,285.9,1446332400
-4.2667,45,4359,0,2.502,248,285.9,1446332400
-4.2334,45,4341.5,0,2.496,248,285.6,1446332400
-4.2001,45,4323.5,0,2.488,247,285.6,1446332400
-4.1667,45,4306,0,2.482,246,285.6,1446332400
-4.1334,45,4288,0,2.474,245,285.6,1446332400
-4.1001,45,4270.5,0,2.466,245,285.6,1446332400
-4.0667,45,4252.5,0,2.46,244,285.6,1446332400
-4.0334,45,4235,0,2.452,243,285.6,1446332400
-4.0001,45,4217.5,0,2.446,243,285.6,1446332400
-3.9667,45,4170.5,0,2.438,242,285.6,1446332400
-3.9334,45,4123.5,0,2.432,241,285.6,1446332400
-3.9001,45,4076,0,2.426,240,285.6,1446332400
-3.8667,45,4029,0,2.418,240,285.6,1446332400
-3.8334,45,3982,0,2.412,239,285.6,1446332400
-3.8001,45,3935,0,2.406,238,285.6,1446332400
-3.7667,45,3888,0,2.4,237,285.6,1446332400
-3.7334,45,3841,0,2.392,237,284.8,1446332400
-3.7001,45,3794,0,2.386,236,284.8,1446332400
-3.6667,45,3747,0,2.38,235,284.8,1446332400
-3.6334,45,3700,0,2.374,234,284.8,1446332400
-3.6001,45,3653,0,2.366,234,284.8,1446332400
-3.5667,45,3606,0,2.36,233,284.8,1446332400
-3.5334,45,3559,0,2.354,232,284.8,1446332400
-3.5001,45,3512,0,2.348,232,284.8,1446332400
-3.4667,45,3429,0,2.34,231,284.8,1446332400
-3.4334,45,3346,0,2.332,230,284.8,1446332400
-3.4001,45,3263,0,2.324,230,284.8,1446332400
-3.3667,45,3180.5,0,2.316,229,284.8,1446332400
-3.3334,45,3097.5,0,2.31,228,284.8,1446332400
-3.3001,45,3014.5,0,2.302,228,284.8,1446332400
-3.2667,45,2931.5,0,2.294,227,284.8,1446332400
-3.2334,45,2849,0,2.286,226,284,1446332400
-3.2001,45,2766,0,2.278,226,284,1446332400
-3.1667,45,2683,0,2.272,225,284,1446332400
-3.1334,45,2600,0,2.264,224,284,1446332400
-3.1001,45,2517,0,2.256,224,284,1446332400
-3.0667,45,2434,0,2.248,223,284,1446332400
-3.0334,45,2351.5,0,2.24,222,284,1446332400
-3.0001,45,2268.5,0,2.234,222,284,1446332400
-2.9667,45,2492.5,0.64,2.226,222,283.9,1446332400
-2.9334,45,2124.5,0.65,2.218,222,284,1446332400
-2.9001,45,2265,0.65,2.21,222,284.1,1446332400
-2.8667,45,2307.5,0.65,2.204,221,284.1,1446332400
-2.8334,45,1909.5,0.65,2.198,221,284.1,1446332400
-2.8001,45,1662.5,0.65,2.192,220,284.1,1446332400
-2.7667,45,2047,0.65,2.188,220,284.2,1446332400
-2.7334,45,2118.5,0.65,2.182,219,284.2,1446332400
-2.7001,45,1444.5,0.65,2.178,218,284.2,1446332400
-2.6667,45,881,0.65,2.172,217,284.3,1446332400
-2.6334,45,1046,0.65,2.168,217,284.3,1446332400
-2.6001,45,1451.5,0.65,2.164,216,284.5,1446332400
-2.5668,45,1555,0.65,2.16,215,284.6,1446332400
-2.5334,45,1370.5,0.65,2.156,215,284.7,1446332400
-2.5001,45,1191,0.65,2.15,214,284.7,1446332400
-2.4668,45,1128.5,0.65,2.144,214,284.7,1446332400
-2.4334,45,888,0.65,2.138,213,284.6,1446332400
-2.4001,45,585,0.65,2.132,212,284.6,1446332400
-2.3668,45,463,0.65,2.122,211,284.5,1446332400
-2.3334,45,335,0.65,2.108,210,284.4,1446332400
-2.3001,45,177.5,0.65,2.09,208,284.3,1446332400
-2.2668,45,127,0.65,2.078,205,284.2,1446332400
-2.2334,45,123,0.65,2.074,205,284.3,1446332400
-2.2001,45,120,0.65,2.07,205,284.5,1446332400
-2.1668,45,117.5,0.65,2.066,205,284.6,1446332400
-2.1334,45,116,0.65,2.06,206,284.7,1446332400
-2.1001,45,114.5,0.66,2.054,206,284.8,1446332400
-2.0668,45,114,0.66,2.048,206,284.9,1446332400
-2.0334,45,114,0.66,2.042,206,284.9,1446332400
-2.0001,45,113,0.66,2.036,206,284.9,1446332400
-1.9668,45,110.5,0.66,2.028,206,285,1446332400
-1.9334,45,108.5,0.66,2.018,205,284.9,1446332400
-1.9001,45,104,0.66,2.006,205,284.8,1446332400
-1.8668,45,98,0.66,1.994,204,284.7,1446332400
-1.8334,45,93.5,0.66,1.98,203,284.6,1446332400
-1.8001,45,88.5,0.66,1.966,202,284.5,1446332400
-1.7668,45,85,0.66,1.952,201,284.4,1446332400
-1.7334,45,82.5,0.66,1.938,200,284.2,1446332400
-1.7001,45,78.5,0.66,1.92,199,284.1,1446332400
-1.6668,45,74.5,0.66,1.904,197,284,1446332400
-1.6334,45,72.5,0.66,1.89,196,283.8,1446332400
-1.6001,45,68.5,0.66,1.87,195,283.6,1446332400
-1.5668,45,64.5,0.66,1.85,193,283.4,1446332400
-1.5334,45,60.5,0.66,1.826,191,283.1,1446332400
-1.5001,45,54,0.66,1.796,187,282.7,1446332400
-1.4668,45,47,0.66,1.768,182,282.3,1446332400
-1.4334,45,43,0.66,1.74,178,282,1446332400
-1.4001,45,38,0.66,1.712,173,281.7,1446332400